Main field of education of current study,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Natural and physical sciences,3.8,5.3,4.2,5,4.8,5.6,5.4,5,4.7,5.6,3.5
Information technology,5.1,5.2,6.3,6.1,6.3,7.5,8.2,8.2,7.6,6.3,10.4
Engineering and related technologies,21.9,20.8,20.1,18,18.9,18,18.3,17,19.5,20.4,21.2
Architecture and building,8.6,8.6,8.7,7.8,8.7,9.9,8.9,8.9,9.7,9.3,10.3
Agriculture, environmental and related studies,1.9,3.1,2.1,2.3,1.7,2,1.7,1.7,2.2,2.5,2
Health,8,6.7,8.6,8.2,9.5,9.6,10.1,9.1,9,10.6,10.4
Education,3.9,3.7,3.4,4.6,3.2,3.5,3.3,3.9,3.4,3.5,4.4
Management and commerce,24.2,23.9,23,23.7,24,19.9,22.3,23.1,20.4,18.6,15.9
Society and culture,13.6,13.3,14.5,15.1,13.9,14.1,13.8,14.8,15.2,14.9,12.9
Creative arts,4.3,4.1,5.6,4.5,4.9,4.1,3.9,4.1,4.2,4.2,4.2
Food, hospitality and personal services,2.4,2.6,1.9,2,2.1,1.7,2.9,2,2.2,2.7,2.6
Others,2.3,2.7,1.6,2.7,2,4.1,1.2,2.2,1.9,1.4,2.2
Total,100,100,100,100,100,100,100,100,100,100,100
